Food_items,Breakfast,Lunch,Dinner,Snack,type,VegNonveg,Calories,Protein,Carbs,Fat,Fiber,Servings,Measurings,PreDiabetic,Diabetic
Chapati,0,1,1,0,0,Veg,170,6,37,0.9,1.1,1,9 inch,1,0
Ragi Roti,0,1,1,0,0,Veg,139,3,20,6,3.1,1,Large,1,1
Corn Roti,0,1,1,0,0,Veg,114,1.6,17.1,4.6,1.8,1,6 inch,1,1
Paratha,1,1,1,0,0,Veg,140,4.3,23.2,4.2,3.5,1,6 inch,1,0
Naan,0,1,1,0,0,Veg,74,1.8,11.5,2.3,0.6,1,Mini,1,0
Bun,1,1,1,0,0,Veg,161,4.3,33,0.6,0,1,Bun,0,0
Bread,1,1,1,1,0,Veg,119,4.2,21.7,1.6,1,2,Slice,1,0
Whole grain Bread,1,1,1,1,0,Veg,138,7,22.5,2.2,3.9,2,Slice,1,1
Rice,0,1,1,0,1,Veg,200,4.3,44.4,0.6,0.8,1,Cup,0,0
Brown Rice,0,1,1,0,1,Veg,181,3.9,37.9,1.4,1.7,1,Cup,1,1
Noodle,0,1,1,1,8,Veg,190,4,26,7,1.6,1,Pack,0,1
Oats,1,0,0,0,8,Veg,299,10.9,50.2,6.1,8.8,1,Cup,1,0
Brown Rice Pulav,0,1,1,0,1,Veg,211,4.9,33.6,7,2.9,1,Cup,1,1
Sandwich,1,0,0,1,8,Veg,226,6.5,34.2,6.9,2.9,1,Sandwich,1,1
Samosa,0,0,0,1,8,Veg,276,3.6,27.9,16.6,1.9,1,Regular,1,0
Idli,0,0,0,1,8,Veg,170,2.6,27.1,5.7,0.6,2,Medium,1,1
Vada,0,0,0,1,8,Veg,310,11.6,28.9,16.6,5.8,2,Piece,1,0
Onion Bhajia,0,0,0,1,3,Veg,162,2.6,11,11.9,1.8,4,Piece,1,0
Poha,0,0,0,1,8,Veg,58,1.1,13,0.2,0.2,0.1,Cup,1,1
Uttapam,1,0,0,1,8,Veg,226,5.2,31.7,8.7,2.6,1,Piece,1,1
Aloo Paratha,0,1,1,0,0,Veg,203,4.7,31.2,6.7,4.4,1,Small,0,0
Okra Sabzi,0,1,1,0,3,Veg,122,2.7,11.4,7.4,4.5,1,Cup,1,1
Potato Sabzi,0,1,1,0,3,Veg,118,1.6,19.5,3.8,1.7,1,Bowl,1,0
Dahi bhindi,0,1,1,0,3,Veg,160,4.9,11.5,10.6,5.3,1,Cup,1,1
Pumpkin Sabzi,0,1,1,0,3,Veg,104,2.3,11.1,5.8,1.9,1,Cup,1,0
Bottle gourd Sabzi,0,1,1,0,3,Veg,84,1.1,6.1,6.1,4.2,1,Cup,1,1
Bitter gourd Sabzi,0,1,1,0,3,Veg,84,2.6,9.6,4.1,5.9,1,Cup,1,1
Beans Sabzi,0,1,1,0,3,Veg,200,13.8,5.2,4.3,3.2,1,Cup,1,1
Cabbage Sabzi,0,1,1,0,3,Veg,103,2.5,7.8,6.9,4.3,1,Cup,1,1
Cauliflower Sabzi,0,1,1,0,3,Veg,125,2.9,9.6,9.1,3.5,1,Cup,1,1
Spinach Sabzi,0,1,1,0,3,Veg,93,3.1,10.5,4.5,4,1,Cup,1,1
Eggplant Sabzi,0,1,1,0,3,Veg,105,2.1,8.8,7,3.7,1,Cup,1,1
Sweet potato,0,1,1,0,3,Veg,114,2.1,26.8,0.1,4,1,Piece,1,0
Taro Sabzi,0,1,1,0,3,Veg,212,0.8,23.3,13,3.6,0.5,Cup,1,1
Mushroom,0,1,1,0,3,Veg,22,3,3.1,0.3,1,1,Bowl(small),1,1
Matar,0,1,1,0,3,Veg,135,10.4,23.1,0.2,12.5,1,Cup,1,1
Fat-free Paneer,0,1,1,0,8,Veg,256,52,6.8,2.3,0,1,Cup,1,1
Soya,0,1,1,0,3,Veg,804,80.4,38.9,36.3,42.8,1,Cup,1,1
Rajma,0,1,1,0,3,Veg,637,42.1,111.5,2.4,45.8,1,Cup,1,1
Chole,0,1,1,1,2,Veg,271,11.1,39.2,8.5,10.6,1,Cup,1,1
